"";"program";"Timestamp";"ml";"ir";"stats";"db";"gender";"chocolate";"birthday";"neighbors";"stand";"stress";"gain";"rn";"bed_time";"good_day_1";"good_day_2"
"138";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:08:00";"yes";"0";"mu";"ja";"female";"neither";NA;1;"no";40;70;3;"23H 30M 0S";"when it's sunny";"when I can enjoy nature"
"139";"BUSINESS ADMINISTRATION";"3/30/2021 11:09:42";"no";"0";"mu";"nee";"male";"fat";"21/08/1998";3;"no";10;10;8;"22H 0M 0S";"Tasteful food";"Good weather"
"140";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:10:49";"yes";"0";"mu";"nee";"male";"fat";NA;1;"no";80;10;8;"1H 0M 0S";"Sun";"Beauty"
"141";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:11:47";"no";"0";"mu";"ja";"female";"unknown";NA;1;"no";20;10;5;"23H 0M 0S";"Sun";"Smile"
"142";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:28:20";"no";"0";"mu";"nee";"female";"neither";NA;1;"no";0;70;5;"23H 0M 0S";"fun";"sun"
"143";"HUMAN LANGUAGE TECHNOLOGY";"3/30/2021 11:30:10";"yes";"1";"mu";"nee";"female";"neither";"11/11/1997";0;"no";30;25;7;"23H 1M 0S";"sunshine";"love"
"144";"BUSINESS ANALYTICS";"3/30/2021 11:30:34";"yes";"1";"mu";"ja";"male";"fat";"25/07/1999";0;"no";80;10;7;"23H 0M 0S";"Doing well on study";"Feyenoord winning a game"
"145";"BIOINFORMATICS";"3/30/2021 11:31:11";"yes";"0";"sigma";"nee";"female";"slim";"08/03/1997";1;"no";0;NA;8;"0H 45M 0S ";"Sun";"My dog"
"146";"COMPUTATIONAL SCIENCE";"3/30/2021 11:36:30";"no";"0";"mu";"unknown";"male";"neither";"24/06/1999";0;"no";20;1;7;"23H 30M 0S";"Friends";"Sport"
"147";"MSC STOCHASTICS AND FINANCIAL MATHEMATICS";"3/30/2021 11:40:04";"yes";"0";"mu";"nee";"female";"fat";"26/12/1996";2;"yes";70;0;6;"23H 0M 0S";"sun";"free time"
"148";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:41:42";"yes";"1";"mu";"nee";"male";"slim";"25/07/1999";4;"no";10;60;2;"0H 30M 0S ";"good night sleep";"things to do"
"149";"COMPUTATIONAL SCIENCE";"3/30/2021 11:49:20";"no";"1";"mu";"nee";"male";"fat";"27/09/1997";0;"no";70;80;7;"2H 0M 0S";"Good weather";"Good news"
"150";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:52:45";"no";"1";"mu";"ja";"male";"fat";"05/08/1995";0;"no";30;5;NA;"1H 0M 0S";"productivity";"food"
"151";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:54:04";"no";"1";"sigma";"nee";"female";"fat";"17/11/1997";0;"no";50;5;8;"23H 59M 0S";"When I see my friends";"Delicious food"
"152";"ARTIFICIAL INTELLIGENCE";"3/30/2021 11:54:41";"yes";"0";"mu";"ja";"female";"neither";"30/11/1993";3;"no";10;20;8;"1H 15M 0S";"coffee";"sunny weather"
"153";"ECONOMETRICS";"3/30/2021 11:57:06";"no";"unknown";"mu";"ja";"male";"unknown";NA;2;"unknown";80;NA;NA;"1H 0M 0S";"Progress ";"Happiness "
"154";"ECONOMETRICS";"3/30/2021 11:58:45";"no";"0";"mu";"ja";"male";"unknown";"06/07/1993";0;"no";25;NA;NA;"0H 0M 0S  ";"Friends";"Fulfillment"
"155";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:05:21";"no";"1";"unknown";"ja";"male";"neither";"03/02/1998";0;"no";80;50;NA;"23H 10M 0S";"Finishing a lot of work";"Playing video games with friends"
"156";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:15:56";"no";"1";"mu";"nee";"male";"I have no idea what you are talking about";"12/11/1996";0;"no";20;0;NA;"0H 0M 0S  ";"sun";"soccer"
"157";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:17:26";"yes";"1";"mu";"ja";"male";"fat";NA;0;"no";20;50;7;"1H 0M 0S";"The sun";"Being together with friends"
"158";"DATA SCIENCE";"3/30/2021 12:18:44";"yes";"1";"mu";"ja";"female";"neither";"19/02/1993";0;"no";0;50;7;"1H 30M 0S";"surfing";"sun"
"159";"COMPUTER SCIENCE";"3/30/2021 12:20:44";"yes";"unknown";"mu";"ja";"male";"neither";"09/07/1997";0;"no";99;0,05;NA;"1H 30M 0S";"Xtc";"Weightlifting"
"160";"INFORMATION SCIENCES";"3/30/2021 12:24:09";"no";"1";"mu";"ja";"male";"neither";NA;0;"no";60;10;NA;"0H 0M 0S  ";"Sunny";"Friends"
"161";"BUSINESS ANALYTICS";"3/30/2021 12:26:34";"yes";"1";"mu";"nee";"male";"fat";NA;0;"no";60;100;NA;"NA  ";"Doing Data Mining";"Doing more Data Mining"
"162";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:28:12";"no";"0";"mu";"nee";"unknown";"neither";NA;1;"no";50;5;7;"2H 0M 0S";"sun ";"friends"
"163";"COMPUTATIONAL SCIENCE";"3/30/2021 12:29:20";"no";"0";"mu";"nee";"male";"neither";"10/02/1999";1;"no";10;0,2;10;"23H 59M 0S";"No obligations";"Being at home"
"164";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:32:25";"no";"0";"mu";"ja";"male";"fat";"06/08/1996";0;"no";37;5;7;"1H 0M 0S";"snow";"not messing up something"
"165";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:33:37";"yes";"unknown";"mu";"ja";"female";"fat";NA;0;"no";50;40;8;"0H 20M 0S ";"Hanging out with friend, some good food and a nice drink.";"Riding my horse with some nice weather."
"166";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:39:07";"no";"unknown";"mu";"nee";"male";"neither";"30/09/1995";1;"no";60;5;6;"23H 30M 0S";"completed todo tasks";"real life social activity with friends"
"167";"BUSINESS ANALYTICS";"3/30/2021 12:41:22";"yes";"0";"mu";"ja";"female";"neither";"19/05/1999";0;"no";50;75;8;"22H 0M 0S";"1";"2"
"168";"ECONOMETRICS";"3/30/2021 12:42:26";"no";"0";"mu";"nee";"female";"neither";"14/04/1996";200;"no";20;10;10;"1H 2M 0S";"Nice weather";"Breaks and fun with friends"
"169";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:43:04";"no";"0";"mu";"nee";"male";"fat";"05/08/1997";0;"no";80;10;9;"22H 0M 0S";"good sleep";"Me time"
"170";"INFORMATION SCIENCES";"3/30/2021 12:46:03";"no";"unknown";"mu";"ja";"female";"neither";"03/05/1996";8;"no";2;50;3;"22H 30M 0S";"the sun";"finishing the to-do list"
"171";"DATA SCIENCE";"3/30/2021 12:46:26";"yes";"0";"mu";"nee";"male";"neither";NA;0;"no";70;1;8;"1H 0M 0S";"sleeping well";"nice breakfast"
"172";"COMPUTER SCIENCE";"3/30/2021 12:48:30";"yes";"0";"mu";"ja";"male";"fat";"05/11/1993";0;"no";30;2,75;NA;"2H 30M 0S";"Drinking coffee";"Programming"
"173";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:49:50";"no";"0";"mu";"ja";"male";"fat";"19/07/1996";1;"no";10;0;4;"0H 38M 0S ";"sunny";"cool"
"174";"ECONOMETRICS";"3/30/2021 12:49:57";"no";"0";"sigma";"unknown";"female";"neither";"16/05/1993";2;"no";80;70;NA;"11H 45M 0S";"Shining sun";"when being appreciated"
"175";"BIOINFORMATICS";"3/30/2021 12:52:26";"yes";"1";"unknown";"ja";"male";"fat";"15/10/1991";2;"yes";70;5;NA;"9H 0M 0S";"Having friends come over";"Spending time wth my brothers"
"176";"ECONOMETRICS";"3/30/2021 12:53:52";"no";"0";"mu";"ja";"female";"neither";"16/05/1993";2;"no";80;5;NA;"11H 45M 0S";"Shining sun";"being appeciated"
"177";"ARTIFICIAL INTELLIGENCE";"3/30/2021 12:56:10";"no";"0";"mu";"nee";"female";"slim";"01/05/1997";0;"no";80;2;9;"0H 0M 0S  ";"My friends";"Good grades"
"178";"ECONOMETRICS";"3/30/2021 12:57:17";"yes";"0";"mu";"nee";"male";"I have no idea what you are talking about";NA;0;"yes";60;69;8;"1H 0M 0S";"memes";"money"
"179";"COMPUTATIONAL SCIENCE";"3/30/2021 12:58:29";"no";"0";"mu";"ja";"male";"fat";NA;0;"no";77;4321;NA;"2H 0M 0S";"Spend with Girlfriend";"Dinner and game with best friend"
"180";"ECONOMETRICS";"3/30/2021 12:59:30";"yes";"0";"mu";"ja";"male";"fat";"02/07/1998";2;"no";10;1;7;"0H 30M 0S ";"friends";"beer"
"181";"BIOINFORMATICS";"3/30/2021 13:06:45";"yes";"0";"unknown";"unknown";"male";"unknown";NA;1;"no";90;101;NA;"0H 0M 0S  ";"21/Apr";"01/Oct"
"182";"COMPUTATIONAL SCIENCE";"3/30/2021 13:08:15";"yes";"0";"mu";"nee";"male";"fat";"19/06/1995";0;"no";10;10;10;"0H 0M 0S  ";"Football and Beer";"Finalising a large project "
"183";"MANAGEMENT, POLICY-ANALYSIS AND ENTREPRENEURSHIP IN HEALTH & LIFE SCIENCES";"3/30/2021 13:12:28";"no";"0";"mu";"ja";"female";"neither";"29/01/1996";1;"no";70;50;3;"3H 50M 0S";"Petting a dog ";"Reaching the goals I set for the day"
"184";"ECONOMETRICS";"3/30/2021 13:16:39";"yes";"0";"mu";"nee";"male";"neither";"09/07/1998";0;"no";80;60;2;"2H 30M 0S";"Sleep";"Sun"
"185";"COMPUTER SCIENCE";"3/30/2021 13:18:40";"no";"1";"mu";"ja";"male";"neither";NA;1;"no";90;NA;4;"0H 30M 0S ";"family";"exercise"
"186";"FINANCE AND TECHNOLOGY";"3/30/2021 13:20:00";"yes";"0";"mu";"nee";"male";"slim";"27/06/1996";1;"no";80;50;8;"0H 30M 0S ";"Sunlight";"Nice company"
"187";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:20:45";"yes";"1";"mu";"nee";"male";"I have no idea what you are talking about";"29/06/1997";6;"no";NA;100;NA;"NA  ";"Filling in a form about data mining";"No ronas"
"188";"COMPUTATIONAL SCIENCE";"3/30/2021 13:26:16";"no";"0";"mu";"nee";"male";"slim";NA;100;"yes";66;0,8;6;"23H 0M 0S";"Sun";"Sports"
"189";"COMPUTATIONAL SCIENCE";"3/30/2021 13:30:42";"no";"0";"unknown";"nee";"male";"fat";"22/03/1994";0;"no";50;0;NA;"1H 0M 0S";"Not being tired";"Eating tasty food"
"190";"COMPUTATIONAL SCIENCE";"3/30/2021 13:33:38";"no";"0";"mu";"nee";"male";"slim";NA;0;"no";1;0;NA;"3H 0M 0S";"productivity";"variety"
"191";"ECONOMETRICS";"3/30/2021 13:40:00";"no";"0";"mu";"ja";"male";"fat";NA;2;"yes";80;20;7;"3H 30M 0S";"sun";"girls"
"192";"COMPUTATIONAL SCIENCE";"3/30/2021 13:41:52";"no";"0";"mu";"nee";"male";"slim";"20/07/1991";1;"no";30;10;3;"0H 0M 0S  ";"good food";"plenty of sleep"
"193";"BIOINFORMATICS";"3/30/2021 13:45:25";"yes";"0";"unknown";"nee";"female";"I have no idea what you are talking about";"09/02/1998";0;"no";55;40;NA;"20H 0M 0S";"Sun";"Cheese"
"194";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:46:26";"yes";"0";"mu";"nee";"male";"neither";"26/05/1997";0;"yes";15;NA;NA;"23H 59M 0S";"BBQ";"Surf"
"195";"COMPUTATIONAL SCIENCE";"3/30/2021 13:46:59";"yes";"1";"sigma";"ja";"unknown";"unknown";"28/10/1992";0;"no";99;NA;NA;"22H 15M 0S";"Running";"Social activity"
"196";"BIOINFORMATICS";"3/30/2021 13:47:18";"yes";"0";"unknown";"nee";"female";"I have no idea what you are talking about";NA;0;"no";19;100;7;"3H 50M 0S";"Weather";"food"
"197";"COMPUTATIONAL SCIENCE";"3/30/2021 13:47:20";"yes";"0";"mu";"nee";"female";"fat";"17/03/1997";0;"no";50;110;9;"22H 3M 0S";"Kitesurfing";"Sunshine"
"198";"COMPUTATIONAL SCIENCE";"3/30/2021 13:47:21";"no";"0";"mu";"nee";"male";"neither";NA;0;"no";92;NA;NA;"0H 0M 0S  ";"pizza";"sun"
"199";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:47:31";"no";"0";"mu";"nee";"female";"neither";"10/01/1998";0;"no";30;NA;7;"23H 30M 0S";"When the sun is out";"Nice plans for the day "
"200";"HUMAN LANGUAGE TECHNOLOGY";"3/30/2021 13:48:08";"yes";"0";"unknown";"nee";"female";"I have no idea what you are talking about";"01/01/1997";1;"no";60;NA;NA;"1H 0M 0S";"coffee";"sunshine"
"201";"COMPUTER SCIENCE";"3/30/2021 13:48:10";"no";"1";"mu";"ja";"male";"slim";"08/06/1993";0;"no";78;100;2;"0H 0M 0S  ";"Sunshine";"More sunshine"
"202";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:48:56";"yes";"1";"mu";"ja";"male";"slim";"04/06/1997";0;"unknown";69;100;7;"12H 0M 0S";"fun";"bright sun"
"203";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:49:10";"yes";"1";"mu";"ja";"male";"I have no idea what you are talking about";NA;0;"no";10;1;NA;"2H 0M 0S";"Good feelings";"A lot of fun"
"204";"DATA SCIENCE";"3/30/2021 13:49:13";"yes";"unknown";"unknown";"ja";"male";"slim";"20/05/1996";6;"no";1;100;2;"5H 15M 0S";"Drinking Beer";"Gaming with Friends"
"205";"BIOINFORMATICS";"3/30/2021 13:49:29";"yes";"0";"mu";"ja";"male";"neither";"04/06/1998";0;"no";45;0,5;3;"23H 0M 0S";"sun";"freedom"
"206";"DATA SCIENCE";"3/30/2021 13:49:45";"yes";"0";"sigma";"nee";"male";"fat";NA;0;"no";0;NA;2;"1H 0M 0S";"enjoying the sun";"spending time with my sons"
"207";"COMPUTATIONAL SCIENCE";"3/30/2021 13:49:52";"no";"0";"mu";"nee";"male";"fat";"01/12/1994";0;"no";0;NA;NA;"10H 0M 0S";"Sports";"Beer"
"208";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:49:54";"yes";"1";"mu";"nee";"male";"fat";"06/05/1998";0;"no";80;NA;NA;"12H 30M 0S";"friday";"saturday"
"209";"COMPUTATIONAL SCIENCE";"3/30/2021 13:50:06";"no";"0";"mu";"nee";"female";"neither";"20/10/1993";0;"no";35;3;NA;"20H 3M 0S";"Friends";"completing tasks"
"210";"BUSINESS ANALYTICS";"3/30/2021 13:50:07";"no";"0";"mu";"nee";"male";"neither";"20/02/1999";0;"yes";44;2;5;"1H 0M 0S";"football";"running"
"211";"BUSINESS ANALYTICS";"3/30/2021 13:50:37";"yes";"unknown";"mu";"ja";"female";"neither";"01/01/1997";4;"yes";8;NA;8;"22H 0M 0S";"Cats";"Sunshine"
"212";"BUSINESS ANALYTICS";"3/30/2021 13:51:02";"yes";"1";"mu";"ja";"male";"neither";"27/08/1998";1;"no";20;1;NA;"NA  ";"Beer and friends";"No obligations"
"213";"COMPUTER SCIENCE";"3/30/2021 13:51:08";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";"16/12/1996";0;"no";50;100;NA;"22H 0M 0S";"sunshine";"good food"
"214";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:51:09";"yes";"0";"mu";"nee";"male";"I have no idea what you are talking about";"21/09/1995";0;"no";80;0,3;NA;"20H 0M 0S";"If a spend my day usefull. Learned new things, improving myself";"Good weather"
"215";"COMPUTATIONAL SCIENCE";"3/30/2021 13:51:23";"yes";"0";"mu";"ja";"male";"slim";"21/02/1990";50;"yes";80;20;NA;"22H 0M 0S";"Ice cream";"double ice cream"
"216";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:51:33";"no";"0";"mu";"nee";"male";"I have no idea what you are talking about";"24/08/1996";0;"unknown";25;25;NA;"21H 37M 0S";"No work";"No stress"
"217";"BUSINESS ANALYTICS";"3/30/2021 13:52:11";"yes";"1";"mu";"ja";"male";"I have no idea what you are talking about";NA;0;"no";50;0,69;6;"0H 30M 0S ";"Good grade";"Not filling in excessively long forms"
"218";"COMPUTER SCIENCE";"3/30/2021 13:53:02";"yes";"0";"sigma";"nee";"male";"fat";NA;0;"no";70;5;NA;"23H 0M 0S";"coffee";"jogging"
"219";"COMPUTATIONAL SCIENCE";"3/30/2021 13:53:25";"yes";"1";"mu";"ja";"male";"neither";"01/01/1991";0;"yes";60;NA;NA;"2H 0M 0S";"Sunshine";"Warm weather"
"220";"COMPUTER SCIENCE";"3/30/2021 13:53:30";"yes";"1";"mu";"nee";"female";"I have no idea what you are talking about";NA;1;"no";100;80;9;"NA  ";"Movements";"Food"
"221";"BUSINESS ANALYTICS";"3/30/2021 13:53:48";"yes";"0";"mu";"nee";"male";"neither";"30/07/1997";0;"no";20;20;NA;"NA  ";"Sun";"Beer"
"222";"ECONOMETRICS";"3/30/2021 13:54:12";"yes";"0";"sigma";"nee";"male";"neither";"25/03/1995";1;"no";99;50;NA;"11H 11M 0S";"Good company";"Good food"
"223";"BIOINFORMATICS";"3/30/2021 13:54:28";"yes";"unknown";"unknown";"nee";"female";"fat";NA;2;"no";80;0,5;7;"NA  ";"Nice weather";"Food"
"224";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:56:54";"no";"0";"mu";"nee";"female";"slim";"07/06/1992";0;"no";60;20;5;"23H 0M 0S";"Doing something meaningful";"sun"
"225";"DATA SCIENCE";"3/30/2021 13:58:13";"yes";"0";"unknown";"ja";"female";"neither";"02/10/1995";0;"yes";75;10;5;"NA  ";"nothing";"nothing"
"226";"BIOINFORMATICS";"3/30/2021 13:59:04";"yes";"1";"sigma";"nee";"male";"neither";NA;0;"no";80;50;NA;"24H 0M 0S";"good weather ";"no body dies "
"227";"ARTIFICIAL INTELLIGENCE";"3/30/2021 13:59:37";"yes";"0";"mu";"nee";"male";"slim";"14/10/1994";0;"no";0;100;7;"23H 34M 0S";"Love";"Happiness"
"228";NA;"3/30/2021 14:04:42";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";"10/02/1996";2;"no";55;1e+06;5;"NA  ";"Productivity";"Fun"
"229";"DATA SCIENCE";"3/30/2021 14:05:45";"yes";"0";"mu";"ja";"female";"fat";"02/03/1998";0;"no";100;70;NA;"15H 0M 0S";"nice food";"good workout"
"230";"BUSINESS ANALYTICS";"3/30/2021 14:10:58";"yes";"1";"mu";"ja";"unknown";"neither";NA;1;"yes";40;5;8;"NA  ";"-";"-"
"231";"BUSINESS ANALYTICS";"3/30/2021 14:24:07";"yes";"1";"mu";"ja";"male";"fat";"09/03/1998";0;"no";20;1000;3;"10H 0M 0S";"Being productive";"Relaxing after being productive"
"232";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:24:10";"no";"0";"mu";"ja";"male";"fat";"30/01/1996";1;"no";80;100;NA;"23H 0M 0S";"Good sleep";"No homework"
"233";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:24:26";"yes";"0";"mu";"nee";"female";"I have no idea what you are talking about";NA;0;"no";55;5;NA;"10H 0M 0S";"Sun";"Good food"
"234";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:24:33";"yes";"1";"mu";"ja";"male";"fat";"27/10/1995";0;"no";70;99,99;NA;"NA  ";"work, friends, play, food, sex";"relaxation, laziness, ice cream"
"235";"BIOINFORMATICS";"3/30/2021 14:24:51";"yes";"0";"mu";"nee";"male";"fat";"01/01/1901";0;"no";NA;0;1;"8H 0M 0S";"FIFA2020";"FIFA2021"
"236";"BIOINFORMATICS";"3/30/2021 14:25:10";"yes";"0";"mu";"nee";"male";"fat";"07/02/1999";0;"no";60;5;8;"1H 0M 0S";"Sleeping in";"No mandatory to do's "
"237";"FINANCE";"3/30/2021 14:26:11";"no";"0";"mu";"nee";"male";"fat";"17/12/1998";0;"yes";25;NA;NA;"11H 31M 0S";"happiness";"general feelings of happiness caused by a multitude of factors"
"238";"BUSINESS ANALYTICS";"3/30/2021 14:29:48";"yes";"0";"mu";"nee";"male";"I have no idea what you are talking about";"27/06/1966";0;"no";90;100;NA;"23H 45M 0S";"Universe is there";"Universe is still there"
"239";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:30:33";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";"01/03/1999";0;"no";35;40;8;"23H 45M 0S";"Nice weather";"Being able to do something fun without having to think about anything else "
"240";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:32:23";"yes";"1";"mu";"nee";"male";"neither";NA;0;"no";57;100;NA;"5H 0M 0S";"cat 1";"cat 2"
"241";"BUSINESS ANALYTICS";"3/30/2021 14:32:59";"yes";"0";"mu";"ja";"male";"I have no idea what you are talking about";"17/07/1999";0;"no";33;399;3;"NA  ";"Girlfriend";"Winning"
"242";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:35:08";"no";"unknown";"mu";"nee";"female";"I have no idea what you are talking about";"08/03/1995";2;"no";68;13;NA;"0H 30M 0S ";"sleep";"sun"
"243";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 14:40:53";"yes";"0";"mu";"nee";"male";"fat";NA;100;"no";50;10;4;"23H 0M 0S";"good weather";"less stress"
"244";"ECONOMETRICS";"3/30/2021 14:41:07";"no";"0";"sigma";"nee";"female";"fat";"29/06/1997";1;"yes";60;5;7;"1H 0M 0S";"Pancakes ";"Sun"
"245";"ARTIFICIAL INTELLIGENCE";"3/30/2021 14:44:53";"yes";"0";"mu";"ja";"female";"neither";"23/04/1999";1;"no";20;100;NA;"NA  ";"reading";"no school"
"246";"BUSINESS ANALYTICS";"3/30/2021 14:51:18";"yes";"1";"mu";"ja";"male";"fat";"19/04/1999";3;"no";75;100;6;"2H 0M 0S";"Good amount of sleep";"Doing something new"
"247";"BIOINFORMATICS";"3/30/2021 14:56:37";"yes";"0";"sigma";"nee";"female";"I have no idea what you are talking about";"06/02/1988";1;"no";70;30;3;"0H 45M 0S ";"Sunny and dry weather";"having good conversations with friends"
"248";"FINANCE AND TECHNOLOGY";"3/30/2021 15:01:20";"yes";"0";"mu";"nee";"male";"neither";"05/05/1992";1;"no";90;10;7;"12H 47M 0S";"sun is out";"work out"
"249";"BIOINFORMATICS";"3/30/2021 15:32:10";"yes";"unknown";"mu";"unknown";"female";"slim";"04/09/1998";0;"no";55;0,1;4;"23H 0M 0S";"Sleep";"Food"
"250";"BIOINFORMATICS";"3/30/2021 15:45:22";"no";"0";"unknown";"ja";"female";"neither";"01/05/1976";0;"no";50;5;6;"0H 1M 0S ";"Getting stuff done";"Trying something new"
"251";"COMPUTER SCIENCE";"3/30/2021 15:46:56";"no";"0";"mu";"nee";"female";"fat";"24/11/1995";0;"no";60;20;4;"22H 0M 0S";"Coffee";"Video game"
"252";"ECONOMETRICS";"3/30/2021 16:00:00";"no";"0";"sigma";"nee";"male";"fat";"30/09/1997";0;"no";27;0,5;8;"0H 30M 0S ";"Gym/sport ";"Drinking "
"253";"COMPUTATIONAL SCIENCE";"3/30/2021 16:06:45";"no";"unknown";"mu";"nee";"male";"I have no idea what you are talking about";"14/04/1995";4;"no";30;0;NA;"NA  ";"a variety of activities";"what i said before this question"
"254";"BUSINESS ANALYTICS";"3/30/2021 17:22:43";"yes";"0";"mu";"nee";"female";"neither";"26/11/1996";0;"no";65;25;6;"23H 0M 0S";"Nice weather";"Friends"
"255";"BIOINFORMATICS";"3/30/2021 17:22:58";"yes";"unknown";"mu";"ja";"female";"fat";NA;2;"no";75;5;7;"23H 30M 0S";"Sunny weather";"Taking medicine"
"256";"ARTIFICIAL INTELLIGENCE";"3/30/2021 17:31:48";"no";"0";"mu";"nee";"male";"fat";"29/04/1993";2;"no";76;35;3;"0H 0M 0S  ";"Health";"Family"
"257";"BIOINFORMATICS";"3/30/2021 17:32:22";"yes";"0";"mu";"ja";"male";"fat";NA;0;"yes";65;40;2;"23H 0M 0S";"can relax";"Can do some kind of activity (sports)"
"258";"BUSINESS ANALYTICS";"3/30/2021 17:32:37";"yes";"1";"mu";"ja";"male";"slim";"06/01/1998";0;"no";10;10;5;"23H 30M 0S";"no stress";"doing sports"
"259";"COMPUTER SCIENCE";"3/30/2021 17:34:15";"yes";"1";"mu";"ja";"male";"fat";NA;0;"no";50;10;6;"23H 0M 0S";"Free";"Sports"
"260";"QUANTITATIVE RISK MANAGEMENT";"3/30/2021 17:35:59";"no";"0";"mu";"nee";"male";"neither";"26/02/1998";2;"no";NA;0,25;NA;"2H 0M 0S";"Not filling in pointless surveys";"Seeing loved ones"
"261";"COMPUTATIONAL SCIENCE";"3/30/2021 17:38:28";"yes";"1";"mu";"ja";"female";"neither";"03/06/1997";0;"unknown";80;30;NA;"22H 15M 0S";"Good food";"Friends "
"262";"ARTIFICIAL INTELLIGENCE";"3/30/2021 17:45:04";"yes";"0";"mu";"nee";"female";"neither";"23/09/1997";0;"no";80;NA;5;"NA  ";"laughter";"no homework"
"263";"ARTIFICIAL INTELLIGENCE";"3/30/2021 17:46:28";"yes";"1";"mu";"ja";"male";"fat";"1895-09-30";265;"yes";NA;2,5;NA;"23H 23M 0S";"Sunny weather";"Women with sundresses on"
"264";"FINANCE AND TECHNOLOGY";"3/30/2021 17:46:38";"yes";"0";"mu";"nee";"male";"neither";"15/04/1988";7;"yes";25;100;NA;"24H 0M 0S";"Fun";"Sleep"
"265";"ARTIFICIAL INTELLIGENCE";"3/30/2021 17:53:12";"yes";"1";"mu";"ja";"male";"slim";NA;8979937;"unknown";NA;100;NA;"NA  ";"Sex";"Sex * 2"
"266";"ARTIFICIAL INTELLIGENCE";"3/30/2021 17:57:08";"yes";"1";"mu";"ja";"male";"neither";"03/05/1995";0;"no";99;3,14;NA;"NA  ";"No deadlines";"#ADATOTHEMOON"
"267";"BUSINESS ANALYTICS";"3/30/2021 17:58:46";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";"04/09/1997";0;"no";NA;2;5;"2H 0M 0S";"Hot temperature";"Airco"
"268";"ARTIFICIAL INTELLIGENCE";"3/30/2021 18:02:16";"yes";"1";"mu";"ja";"male";"fat";"04/01/1995";1;"no";10;0,5;1;"23H 15M 0S";"Good sleep";"Nice people"
"269";"BIOINFORMATICS";"3/30/2021 18:02:50";"no";"0";"mu";"nee";"male";"neither";"24/10/1995";0;"no";100;10;NA;"0H 0M 0S  ";"Meeting a friend ";"Having a good meal"
"270";"ARTIFICIAL INTELLIGENCE";"3/30/2021 18:04:36";"no";"1";"mu";"ja";"unknown";"slim";NA;1;"no";30;1e+07;NA;"1H 0M 0S";"Making money and not being with my girlfriend";"Not being with my girlfriend and making money"
"271";"ARTIFICIAL INTELLIGENCE";"3/30/2021 18:11:57";"yes";"1";"mu";"ja";"female";"slim";"05/08/1998";1;"no";100;0;NA;"23H 0M 0S";"Sun";"Chocolate"
"272";"ARTIFICIAL INTELLIGENCE";"3/30/2021 18:12:43";"yes";"0";"sigma";"ja";"unknown";"neither";"1337-11-11";7;"no";69;NA;NA;"1H 30M 0S";"Good food";"Lots of sleep"
"273";"BIOINFORMATICS";"3/30/2021 18:19:03";"no";"0";"sigma";"ja";"female";"fat";"23/01/1997";14;"no";NA;NA;5;"NA  ";"less hmw";"clear instructions to get 10 from hmw!"
"274";"BIOINFORMATICS";"3/30/2021 18:35:43";"yes";"0";"sigma";"ja";"male";"fat";"20/06/1993";300;"unknown";NA;100;6;"1H 0M 0S";"productive";"funny"
"275";"ARTIFICIAL INTELLIGENCE";"3/30/2021 18:39:26";"yes";"1";"mu";"nee";"male";"slim";"16/06/2000";1;"no";40;50;NA;"NA  ";"50";"50"
"276";"BIOINFORMATICS";"3/30/2021 18:39:31";"yes";"0";"mu";"nee";"female";"I have no idea what you are talking about";"06/07/1996";0;"no";100;30;10;"16H 0M 0S";"No homework, no school";"No school, no homework"
